epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.579561,0.3988,0.2024,bidirectional,0.4639,0.2366
5,0.52259,0.4076,0.207,bidirectional,0.4639,0.2366
7,0.486464,0.4088,0.2085,bidirectional,0.4639,0.2366
10,0.453264,0.4194,0.2149,bidirectional,0.4639,0.2366
13,0.433152,0.4215,0.2167,bidirectional,0.4639,0.2366
15,0.423779,0.4229,0.2202,bidirectional,0.4639,0.2366
17,0.416796,0.4268,0.2218,bidirectional,0.4639,0.2366
20,0.408165,0.4377,0.2291,bidirectional,0.4639,0.2366
23,0.402284,0.4406,0.2318,bidirectional,0.4639,0.2366
25,0.399094,0.4456,0.2324,bidirectional,0.4639,0.2366
27,0.396288,0.4503,0.2342,bidirectional,0.4639,0.2366
30,0.393024,0.4515,0.2327,bidirectional,0.4639,0.2366
33,0.390359,0.4558,0.2337,bidirectional,0.4639,0.2366
35,0.388878,0.4566,0.2338,bidirectional,0.4639,0.2366
37,0.38749,0.458,0.2341,bidirectional,0.4639,0.2366
40,0.385697,0.4639,0.2351,bidirectional,0.4639,0.2366
43,0.384221,0.4637,0.2368,bidirectional,0.4639,0.2366
45,0.383326,0.4627,0.2362,bidirectional,0.4639,0.2366
47,0.382484,0.462,0.2358,bidirectional,0.4639,0.2366
50,0.381302,0.4639,0.2366,bidirectional,0.4639,0.2366
