epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.585424,0.3919,0.1984,baseline_last,0.4586,0.2338
5,0.527583,0.4069,0.2067,baseline_last,0.4586,0.2338
7,0.490819,0.4062,0.2069,baseline_last,0.4586,0.2338
10,0.455958,0.4138,0.212,baseline_last,0.4586,0.2338
13,0.435517,0.4075,0.2082,baseline_last,0.4586,0.2338
15,0.427808,0.4181,0.218,baseline_last,0.4586,0.2338
17,0.419499,0.4224,0.2222,baseline_last,0.4586,0.2338
20,0.410924,0.4335,0.2269,baseline_last,0.4586,0.2338
23,0.404592,0.4335,0.2271,baseline_last,0.4586,0.2338
25,0.401318,0.4399,0.23,baseline_last,0.4586,0.2338
27,0.398522,0.4452,0.2309,baseline_last,0.4586,0.2338
30,0.395379,0.4447,0.2296,baseline_last,0.4586,0.2338
33,0.392473,0.4491,0.2309,baseline_last,0.4586,0.2338
35,0.39091,0.4501,0.2309,baseline_last,0.4586,0.2338
37,0.389579,0.45,0.2313,baseline_last,0.4586,0.2338
40,0.387925,0.4563,0.2336,baseline_last,0.4586,0.2338
43,0.394628,0.4511,0.2301,baseline_last,0.4586,0.2338
45,0.3885,0.4545,0.2321,baseline_last,0.4586,0.2338
47,0.385723,0.4541,0.2322,baseline_last,0.4586,0.2338
50,0.383873,0.4586,0.2338,baseline_last,0.4586,0.2338
