epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.573901,0.399,0.2033,twolayer,0.4592,0.2342
5,0.518141,0.4068,0.2065,twolayer,0.4592,0.2342
7,0.48367,0.4056,0.2075,twolayer,0.4592,0.2342
10,0.452702,0.4142,0.2134,twolayer,0.4592,0.2342
13,0.433577,0.4153,0.2133,twolayer,0.4592,0.2342
15,0.424902,0.4183,0.2178,twolayer,0.4592,0.2342
17,0.417956,0.4224,0.2217,twolayer,0.4592,0.2342
20,0.410336,0.4301,0.2249,twolayer,0.4592,0.2342
23,0.404502,0.4344,0.2282,twolayer,0.4592,0.2342
25,0.401404,0.4379,0.2288,twolayer,0.4592,0.2342
27,0.398882,0.4435,0.23,twolayer,0.4592,0.2342
30,0.395585,0.4426,0.2298,twolayer,0.4592,0.2342
33,0.392921,0.4472,0.2315,twolayer,0.4592,0.2342
35,0.391388,0.4472,0.2311,twolayer,0.4592,0.2342
37,0.390019,0.4524,0.2325,twolayer,0.4592,0.2342
40,0.390029,0.455,0.2316,twolayer,0.4592,0.2342
43,0.387293,0.457,0.2344,twolayer,0.4592,0.2342
45,0.386195,0.4565,0.2327,twolayer,0.4592,0.2342
47,0.385252,0.4543,0.2331,twolayer,0.4592,0.2342
50,0.384038,0.4592,0.2342,twolayer,0.4592,0.2342
