epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.572738,0.4054,0.2055,baseline_last,0.4637,0.2357
5,0.517837,0.4099,0.2087,baseline_last,0.4637,0.2357
7,0.483424,0.4116,0.2102,baseline_last,0.4637,0.2357
10,0.451419,0.4219,0.2173,baseline_last,0.4637,0.2357
13,0.431645,0.4239,0.218,baseline_last,0.4637,0.2357
15,0.422514,0.4232,0.2197,baseline_last,0.4637,0.2357
17,0.415324,0.4286,0.2242,baseline_last,0.4637,0.2357
20,0.407465,0.439,0.2288,baseline_last,0.4637,0.2357
23,0.401182,0.4433,0.2316,baseline_last,0.4637,0.2357
25,0.398034,0.4476,0.2316,baseline_last,0.4637,0.2357
27,0.395451,0.4529,0.2329,baseline_last,0.4637,0.2357
30,0.392235,0.4497,0.2319,baseline_last,0.4637,0.2357
33,0.389617,0.4559,0.2347,baseline_last,0.4637,0.2357
35,0.388109,0.4572,0.234,baseline_last,0.4637,0.2357
37,0.386868,0.4595,0.2351,baseline_last,0.4637,0.2357
40,0.385005,0.4624,0.2344,baseline_last,0.4637,0.2357
43,0.383541,0.4613,0.2363,baseline_last,0.4637,0.2357
45,0.382709,0.4642,0.2362,baseline_last,0.4637,0.2357
47,0.381868,0.4622,0.2349,baseline_last,0.4637,0.2357
50,0.380754,0.4637,0.2357,baseline_last,0.4637,0.2357
