epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.585924,0.391,0.1977,improved_last_linear_decay,0.4567,0.2326
5,0.527909,0.4061,0.2065,improved_last_linear_decay,0.4567,0.2326
7,0.490631,0.4039,0.2056,improved_last_linear_decay,0.4567,0.2326
10,0.45791,0.4093,0.2096,improved_last_linear_decay,0.4567,0.2326
13,0.436315,0.4162,0.2144,improved_last_linear_decay,0.4567,0.2326
15,0.426873,0.4174,0.2164,improved_last_linear_decay,0.4567,0.2326
17,0.419508,0.4222,0.2219,improved_last_linear_decay,0.4567,0.2326
20,0.411311,0.4305,0.2255,improved_last_linear_decay,0.4567,0.2326
23,0.408901,0.4294,0.2251,improved_last_linear_decay,0.4567,0.2326
25,0.405152,0.4363,0.2265,improved_last_linear_decay,0.4567,0.2326
27,0.401135,0.4417,0.2279,improved_last_linear_decay,0.4567,0.2326
30,0.397152,0.4416,0.2282,improved_last_linear_decay,0.4567,0.2326
33,0.394286,0.4471,0.2298,improved_last_linear_decay,0.4567,0.2326
35,0.39268,0.4486,0.2296,improved_last_linear_decay,0.4567,0.2326
37,0.391715,0.4496,0.2306,improved_last_linear_decay,0.4567,0.2326
40,0.389469,0.4528,0.2309,improved_last_linear_decay,0.4567,0.2326
43,0.387805,0.4555,0.2316,improved_last_linear_decay,0.4567,0.2326
45,0.38703,0.4545,0.2318,improved_last_linear_decay,0.4567,0.2326
47,0.385945,0.4542,0.2324,improved_last_linear_decay,0.4567,0.2326
50,0.384682,0.4567,0.2326,improved_last_linear_decay,0.4567,0.2326
