epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.586025,0.3908,0.1977,improved_last,0.4563,0.2313
5,0.528086,0.4053,0.2063,improved_last,0.4563,0.2313
7,0.492344,0.4037,0.205,improved_last,0.4563,0.2313
10,0.458123,0.4093,0.2095,improved_last,0.4563,0.2313
13,0.437642,0.4136,0.2125,improved_last,0.4563,0.2313
15,0.428148,0.4152,0.2155,improved_last,0.4563,0.2313
17,0.420889,0.4184,0.2194,improved_last,0.4563,0.2313
20,0.412549,0.4289,0.2247,improved_last,0.4563,0.2313
23,0.407644,0.4289,0.2257,improved_last,0.4563,0.2313
25,0.403456,0.4385,0.2285,improved_last,0.4563,0.2313
27,0.400628,0.4427,0.2292,improved_last,0.4563,0.2313
30,0.39718,0.4437,0.229,improved_last,0.4563,0.2313
33,0.39436,0.447,0.2296,improved_last,0.4563,0.2313
35,0.392769,0.4496,0.2297,improved_last,0.4563,0.2313
37,0.391544,0.4496,0.2301,improved_last,0.4563,0.2313
40,0.389398,0.4531,0.2311,improved_last,0.4563,0.2313
43,0.387775,0.4546,0.2315,improved_last,0.4563,0.2313
45,0.386953,0.4556,0.2316,improved_last,0.4563,0.2313
47,0.385944,0.4536,0.2316,improved_last,0.4563,0.2313
50,0.388686,0.4563,0.2313,improved_last,0.4563,0.2313
