epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.622965,0.3026,0.1427,improved_mean,0.4457,0.2282
5,0.57336,0.3809,0.1893,improved_mean,0.4457,0.2282
7,0.531503,0.4023,0.2024,improved_mean,0.4457,0.2282
10,0.487627,0.413,0.2113,improved_mean,0.4457,0.2282
13,0.459798,0.4172,0.2145,improved_mean,0.4457,0.2282
15,0.446886,0.4162,0.2167,improved_mean,0.4457,0.2282
17,0.437091,0.4232,0.2208,improved_mean,0.4457,0.2282
20,0.426371,0.4269,0.2232,improved_mean,0.4457,0.2282
23,0.418833,0.4298,0.2261,improved_mean,0.4457,0.2282
25,0.41503,0.4329,0.2267,improved_mean,0.4457,0.2282
27,0.411917,0.4369,0.228,improved_mean,0.4457,0.2282
30,0.408121,0.4374,0.229,improved_mean,0.4457,0.2282
33,0.405161,0.439,0.2289,improved_mean,0.4457,0.2282
35,0.403499,0.4402,0.2285,improved_mean,0.4457,0.2282
37,0.402068,0.4421,0.2286,improved_mean,0.4457,0.2282
40,0.400236,0.4444,0.2294,improved_mean,0.4457,0.2282
43,0.398636,0.443,0.229,improved_mean,0.4457,0.2282
45,0.397673,0.4465,0.2291,improved_mean,0.4457,0.2282
47,0.396816,0.4472,0.2293,improved_mean,0.4457,0.2282
50,0.395659,0.4457,0.2282,improved_mean,0.4457,0.2282
