epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.652021,0.204,0.0933,improved_mean_decay,0.4346,0.2214
5,0.613559,0.3277,0.1582,improved_mean_decay,0.4346,0.2214
7,0.570421,0.3791,0.1868,improved_mean_decay,0.4346,0.2214
10,0.519058,0.4002,0.2017,improved_mean_decay,0.4346,0.2214
13,0.484392,0.4061,0.2064,improved_mean_decay,0.4346,0.2214
15,0.467947,0.4054,0.2082,improved_mean_decay,0.4346,0.2214
17,0.45528,0.412,0.2104,improved_mean_decay,0.4346,0.2214
20,0.44133,0.4138,0.2126,improved_mean_decay,0.4346,0.2214
23,0.431446,0.417,0.2165,improved_mean_decay,0.4346,0.2214
25,0.426443,0.4189,0.2168,improved_mean_decay,0.4346,0.2214
27,0.422363,0.4212,0.2178,improved_mean_decay,0.4346,0.2214
30,0.417513,0.4237,0.22,improved_mean_decay,0.4346,0.2214
33,0.413769,0.4249,0.2197,improved_mean_decay,0.4346,0.2214
35,0.411677,0.4265,0.22,improved_mean_decay,0.4346,0.2214
37,0.409917,0.4316,0.2223,improved_mean_decay,0.4346,0.2214
40,0.40766,0.4336,0.2209,improved_mean_decay,0.4346,0.2214
43,0.405699,0.4333,0.2218,improved_mean_decay,0.4346,0.2214
45,0.404535,0.4341,0.2216,improved_mean_decay,0.4346,0.2214
47,0.403486,0.4322,0.2213,improved_mean_decay,0.4346,0.2214
50,0.40211,0.4346,0.2214,improved_mean_decay,0.4346,0.2214
