epoch,avg_loss,recall@10,ndcg@10,profile,final_recall@10,final_ndcg@10
3,0.640717,0.3199,0.1561,timeaware_mean_decay,0.4433,0.2298
5,0.579681,0.3847,0.1913,timeaware_mean_decay,0.4433,0.2298
7,0.528325,0.3967,0.1998,timeaware_mean_decay,0.4433,0.2298
10,0.478905,0.403,0.2046,timeaware_mean_decay,0.4433,0.2298
13,0.450402,0.4076,0.2059,timeaware_mean_decay,0.4433,0.2298
15,0.437946,0.4049,0.2068,timeaware_mean_decay,0.4433,0.2298
17,0.428776,0.4068,0.2082,timeaware_mean_decay,0.4433,0.2298
20,0.419088,0.4113,0.2118,timeaware_mean_decay,0.4433,0.2298
23,0.412448,0.4127,0.2148,timeaware_mean_decay,0.4433,0.2298
25,0.4091,0.4152,0.217,timeaware_mean_decay,0.4433,0.2298
27,0.406307,0.4173,0.2175,timeaware_mean_decay,0.4433,0.2298
30,0.402877,0.4214,0.2206,timeaware_mean_decay,0.4433,0.2298
33,0.400062,0.4258,0.2227,timeaware_mean_decay,0.4433,0.2298
35,0.398445,0.4283,0.2236,timeaware_mean_decay,0.4433,0.2298
37,0.396984,0.4331,0.2258,timeaware_mean_decay,0.4433,0.2298
40,0.395068,0.4375,0.2263,timeaware_mean_decay,0.4433,0.2298
43,0.393378,0.44,0.2293,timeaware_mean_decay,0.4433,0.2298
45,0.392355,0.4385,0.2282,timeaware_mean_decay,0.4433,0.2298
47,0.391434,0.4391,0.2274,timeaware_mean_decay,0.4433,0.2298
50,0.390179,0.4433,0.2298,timeaware_mean_decay,0.4433,0.2298
